,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.743,Sun Nov 05 22:27:18 +0000 2017,0.701,0.247,0.052,1,BBC
1,-0.7351,Sun Nov 05 21:32:03 +0000 2017,0.733,0.267,0.0,2,BBC
2,0.5574,Sun Nov 05 20:49:53 +0000 2017,0.825,0.0,0.175,3,BBC
3,0.3818,Sun Nov 05 20:47:59 +0000 2017,0.714,0.109,0.176,4,BBC
4,0.2732,Sun Nov 05 20:46:18 +0000 2017,0.826,0.0,0.174,5,BBC
5,0.4404,Sun Nov 05 20:46:10 +0000 2017,0.707,0.0,0.293,6,BBC
6,0.5574,Sun Nov 05 20:46:01 +0000 2017,0.825,0.0,0.175,7,BBC
7,-0.6705,Sun Nov 05 20:08:11 +0000 2017,0.809,0.191,0.0,8,BBC
8,0.0,Sun Nov 05 19:35:03 +0000 2017,1.0,0.0,0.0,9,BBC
9,-0.4215,Sun Nov 05 19:02:04 +0000 2017,0.797,0.203,0.0,10,BBC
10,0.0,Sun Nov 05 18:31:08 +0000 2017,1.0,0.0,0.0,11,BBC
11,0.4939,Sun Nov 05 18:01:02 +0000 2017,0.758,0.0,0.242,12,BBC
12,0.0,Sun Nov 05 17:29:05 +0000 2017,1.0,0.0,0.0,13,BBC
13,0.0,Sun Nov 05 17:01:05 +0000 2017,1.0,0.0,0.0,14,BBC
14,-0.1027,Sun Nov 05 16:30:06 +0000 2017,0.938,0.062,0.0,15,BBC
15,0.0,Sun Nov 05 16:02:04 +0000 2017,1.0,0.0,0.0,16,BBC
16,0.0,Sun Nov 05 15:32:01 +0000 2017,1.0,0.0,0.0,17,BBC
17,-0.3182,Sun Nov 05 15:00:21 +0000 2017,0.827,0.173,0.0,18,BBC
18,0.3802,Sun Nov 05 14:30:05 +0000 2017,0.844,0.0,0.156,19,BBC
19,0.5994,Sun Nov 05 14:00:17 +0000 2017,0.782,0.0,0.218,20,BBC
20,0.0,Sun Nov 05 13:30:06 +0000 2017,1.0,0.0,0.0,21,BBC
21,0.0,Sun Nov 05 13:00:08 +0000 2017,1.0,0.0,0.0,22,BBC
22,0.0,Sun Nov 05 12:01:01 +0000 2017,1.0,0.0,0.0,23,BBC
23,0.0772,Sun Nov 05 11:00:06 +0000 2017,0.942,0.0,0.058,24,BBC
24,-0.2349,Sun Nov 05 10:05:04 +0000 2017,0.852,0.096,0.052,25,BBC
25,0.0,Sun Nov 05 09:30:26 +0000 2017,1.0,0.0,0.0,26,BBC
26,0.0,Sun Nov 05 09:30:09 +0000 2017,1.0,0.0,0.0,27,BBC
27,0.0,Sun Nov 05 09:24:59 +0000 2017,1.0,0.0,0.0,28,BBC
28,0.3818,Sun Nov 05 09:24:54 +0000 2017,0.822,0.0,0.178,29,BBC
29,0.2263,Sun Nov 05 09:24:48 +0000 2017,0.917,0.0,0.083,30,BBC
30,0.8316,Sun Nov 05 09:24:40 +0000 2017,0.729,0.0,0.271,31,BBC
31,0.0,Sun Nov 05 08:30:15 +0000 2017,1.0,0.0,0.0,32,BBC
32,0.7096,Sun Nov 05 08:01:01 +0000 2017,0.688,0.0,0.312,33,BBC
33,-0.2406,Sat Nov 04 21:24:11 +0000 2017,0.915,0.085,0.0,34,BBC
34,0.0,Sat Nov 04 21:03:00 +0000 2017,1.0,0.0,0.0,35,BBC
35,0.296,Sat Nov 04 20:03:04 +0000 2017,0.702,0.124,0.174,36,BBC
36,-0.8271,Sat Nov 04 19:30:01 +0000 2017,0.58,0.42,0.0,37,BBC
37,0.0,Sat Nov 04 18:54:03 +0000 2017,1.0,0.0,0.0,38,BBC
38,0.0772,Sat Nov 04 18:30:11 +0000 2017,0.817,0.086,0.097,39,BBC
39,0.0,Sat Nov 04 18:01:03 +0000 2017,1.0,0.0,0.0,40,BBC
40,-0.3182,Sat Nov 04 17:30:08 +0000 2017,0.827,0.173,0.0,41,BBC
41,0.25,Sat Nov 04 17:00:04 +0000 2017,0.92,0.0,0.08,42,BBC
42,0.3612,Sat Nov 04 16:31:01 +0000 2017,0.777,0.073,0.15,43,BBC
43,0.7929,Sat Nov 04 16:00:06 +0000 2017,0.719,0.0,0.281,44,BBC
44,0.4877,Sat Nov 04 15:32:06 +0000 2017,0.843,0.0,0.157,45,BBC
45,0.0,Sat Nov 04 15:00:12 +0000 2017,1.0,0.0,0.0,46,BBC
46,0.5994,Sat Nov 04 14:53:43 +0000 2017,0.837,0.0,0.163,47,BBC
47,0.0,Sat Nov 04 14:53:11 +0000 2017,1.0,0.0,0.0,48,BBC
48,0.0,Sat Nov 04 14:52:17 +0000 2017,1.0,0.0,0.0,49,BBC
49,0.4588,Sat Nov 04 14:44:58 +0000 2017,0.857,0.0,0.143,50,BBC
50,0.0,Sat Nov 04 14:26:38 +0000 2017,1.0,0.0,0.0,51,BBC
51,0.6369,Sat Nov 04 14:26:06 +0000 2017,0.846,0.0,0.154,52,BBC
52,-0.6249,Sat Nov 04 14:03:04 +0000 2017,0.638,0.362,0.0,53,BBC
53,-0.3612,Sat Nov 04 13:30:07 +0000 2017,0.878,0.122,0.0,54,BBC
54,0.0,Sat Nov 04 13:03:09 +0000 2017,1.0,0.0,0.0,55,BBC
55,0.0,Sat Nov 04 12:32:03 +0000 2017,1.0,0.0,0.0,56,BBC
56,-0.3182,Sat Nov 04 12:03:04 +0000 2017,0.881,0.119,0.0,57,BBC
57,-0.25,Sat Nov 04 11:30:05 +0000 2017,0.693,0.172,0.135,58,BBC
58,0.0,Sat Nov 04 11:01:02 +0000 2017,1.0,0.0,0.0,59,BBC
59,-0.1531,Sat Nov 04 10:30:05 +0000 2017,0.675,0.155,0.171,60,BBC
60,-0.1779,Sat Nov 04 09:30:04 +0000 2017,0.805,0.195,0.0,61,BBC
61,0.8225,Sat Nov 04 09:24:21 +0000 2017,0.699,0.0,0.301,62,BBC
62,0.4019,Sat Nov 04 09:23:31 +0000 2017,0.856,0.0,0.144,63,BBC
63,0.7351,Sat Nov 04 09:22:39 +0000 2017,0.788,0.0,0.212,64,BBC
64,0.7644,Sat Nov 04 09:00:04 +0000 2017,0.645,0.0,0.355,65,BBC
65,0.0,Sat Nov 04 08:30:06 +0000 2017,1.0,0.0,0.0,66,BBC
66,0.5994,Sat Nov 04 08:03:01 +0000 2017,0.794,0.0,0.206,67,BBC
67,0.3744,Fri Nov 03 23:51:35 +0000 2017,0.811,0.0,0.189,68,BBC
68,0.5719,Fri Nov 03 23:51:06 +0000 2017,0.764,0.0,0.236,69,BBC
69,0.0,Fri Nov 03 23:50:05 +0000 2017,1.0,0.0,0.0,70,BBC
70,-0.5994,Fri Nov 03 19:31:04 +0000 2017,0.794,0.206,0.0,71,BBC
71,-0.6249,Fri Nov 03 19:05:01 +0000 2017,0.76,0.24,0.0,72,BBC
72,-0.2942,Fri Nov 03 18:30:08 +0000 2017,0.856,0.144,0.0,73,BBC
73,-0.6369,Fri Nov 03 18:01:04 +0000 2017,0.741,0.259,0.0,74,BBC
74,0.3818,Fri Nov 03 17:31:05 +0000 2017,0.843,0.0,0.157,75,BBC
75,0.0,Fri Nov 03 17:03:04 +0000 2017,1.0,0.0,0.0,76,BBC
76,0.0,Fri Nov 03 17:01:02 +0000 2017,1.0,0.0,0.0,77,BBC
77,0.7906,Fri Nov 03 16:32:04 +0000 2017,0.708,0.0,0.292,78,BBC
78,0.0,Fri Nov 03 16:01:05 +0000 2017,1.0,0.0,0.0,79,BBC
79,0.3612,Fri Nov 03 15:25:06 +0000 2017,0.839,0.0,0.161,80,BBC
80,0.4019,Fri Nov 03 15:09:46 +0000 2017,0.863,0.0,0.137,81,BBC
81,0.0,Fri Nov 03 14:05:17 +0000 2017,1.0,0.0,0.0,82,BBC
82,0.6439,Fri Nov 03 14:04:55 +0000 2017,0.653,0.0,0.347,83,BBC
83,0.8658,Fri Nov 03 14:04:50 +0000 2017,0.662,0.0,0.338,84,BBC
84,0.0,Fri Nov 03 14:04:46 +0000 2017,1.0,0.0,0.0,85,BBC
85,0.0,Fri Nov 03 14:04:10 +0000 2017,1.0,0.0,0.0,86,BBC
86,0.0,Fri Nov 03 13:33:03 +0000 2017,1.0,0.0,0.0,87,BBC
87,0.4215,Fri Nov 03 13:03:09 +0000 2017,0.865,0.0,0.135,88,BBC
88,-0.4215,Fri Nov 03 12:32:01 +0000 2017,0.632,0.236,0.132,89,BBC
89,0.34,Fri Nov 03 12:05:03 +0000 2017,0.844,0.0,0.156,90,BBC
90,0.0,Fri Nov 03 11:04:05 +0000 2017,1.0,0.0,0.0,91,BBC
91,0.0,Fri Nov 03 10:29:02 +0000 2017,1.0,0.0,0.0,92,BBC
92,0.3612,Fri Nov 03 09:43:00 +0000 2017,0.884,0.0,0.116,93,BBC
93,0.1511,Fri Nov 03 09:37:08 +0000 2017,0.923,0.0,0.077,94,BBC
94,0.7906,Fri Nov 03 09:36:17 +0000 2017,0.632,0.0,0.368,95,BBC
95,-0.8126,Fri Nov 03 09:35:04 +0000 2017,0.73,0.27,0.0,96,BBC
96,-0.3595,Fri Nov 03 09:34:25 +0000 2017,0.898,0.102,0.0,97,BBC
97,0.0,Fri Nov 03 09:34:04 +0000 2017,1.0,0.0,0.0,98,BBC
98,0.0,Fri Nov 03 09:30:10 +0000 2017,1.0,0.0,0.0,99,BBC
99,-0.5848,Fri Nov 03 08:59:03 +0000 2017,0.841,0.159,0.0,100,BBC
100,0.4199,Sun Nov 05 13:58:35 +0000 2017,0.872,0.0,0.128,1,CBS
101,0.0,Sat Nov 04 20:00:02 +0000 2017,1.0,0.0,0.0,2,CBS
102,0.0,Sat Nov 04 13:54:31 +0000 2017,1.0,0.0,0.0,3,CBS
103,0.6166,Fri Nov 03 00:45:05 +0000 2017,0.776,0.0,0.224,4,CBS
104,0.0,Thu Nov 02 23:02:32 +0000 2017,1.0,0.0,0.0,5,CBS
105,0.6514,Thu Nov 02 19:38:35 +0000 2017,0.797,0.0,0.203,6,CBS
106,0.6369,Thu Nov 02 17:38:03 +0000 2017,0.819,0.0,0.181,7,CBS
107,0.6514,Thu Nov 02 16:47:35 +0000 2017,0.806,0.0,0.194,8,CBS
108,0.0,Thu Nov 02 10:09:01 +0000 2017,1.0,0.0,0.0,9,CBS
109,0.0,Thu Nov 02 10:08:01 +0000 2017,1.0,0.0,0.0,10,CBS
110,0.0,Thu Nov 02 00:24:36 +0000 2017,1.0,0.0,0.0,11,CBS
111,0.0,Thu Nov 02 00:19:17 +0000 2017,1.0,0.0,0.0,12,CBS
112,0.0,Wed Nov 01 17:07:30 +0000 2017,1.0,0.0,0.0,13,CBS
113,0.8932,Wed Nov 01 00:56:34 +0000 2017,0.457,0.05,0.494,14,CBS
114,0.7959,Tue Oct 31 20:09:21 +0000 2017,0.608,0.0,0.392,15,CBS
115,0.7574,Tue Oct 31 17:01:24 +0000 2017,0.533,0.071,0.396,16,CBS
